field_name,role,family,codebook_group,present_in_current_historical_panel,historical_panel_requirement,forecast_scaffold_requirement,standardized_model_input_requirement,fixed_slow_area_asset_requirement,data_type,format_or_allowed_values,description,statistic_or_measure,notes
area_id,canonical_key,,,derived,derived from admin_code,derived from admin_code,required,required,string,Canonical IPCCH area identifier; equals admin_code in current assets.,,,Canonical identifier for the unified IPCCH contract.
AEZ_32000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 32000,AEZ code indicator/share,
AEZ_34000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 34000,AEZ code indicator/share,
AEZ_36000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 36000,AEZ code indicator/share,
AEZ_38000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 38000,AEZ code indicator/share,
AEZ_42000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 42000,AEZ code indicator/share,
AEZ_7000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 7000,AEZ code indicator/share,
CC,slow_or_country_time_feature,10_demographic_socioeconomic_and_macro,"10 Demographic, socioeconomic, and macro",yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Control of Corruptions percentile, source from world bank",,
CPI,slow_or_country_time_feature,10_demographic_socioeconomic_and_macro,"10 Demographic, socioeconomic, and macro",yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Consumer Price Index, source from world bank",,
EVI_mean,monthly_dynamic_feature,06_remote_sensing_vegetation_and_nightlights,06 Remote sensing vegetation and nightlights,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Enhanced Vegetation Index; mean. Aggregated first on month then on zone.,Mean,
EVI_std,monthly_dynamic_feature,06_remote_sensing_vegetation_and_nightlights,06 Remote sensing vegetation and nightlights,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Enhanced Vegetation Index; standard deviation. Aggregated first on month then on zone.,Standard deviation,
Evap_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Evapotranspiration; mean. From FLDAS product. Aggregated first on month then on zone.,Mean,
Evap_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Evapotranspiration; standard deviation. From FLDAS product. Aggregated first on month then on zone.,Standard deviation,
FAO_price,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Food or agricultural commodity price from FAO; FPMA domestic data-market level; matched on market level,,
Food_CPI,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Food Consumer Price Index; marco, country level. Source from FAOSTAT",,
Food_food_inflation,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Food price inflation rate; macro, country level, Source from FAOSTAT",,
GDP,slow_or_country_time_feature,10_demographic_socioeconomic_and_macro,"10 Demographic, socioeconomic, and macro",yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Gross Domestic Product, source from world bank.",,
GPP_mean,monthly_dynamic_feature,06_remote_sensing_vegetation_and_nightlights,06 Remote sensing vegetation and nightlights,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Gross Primary Productivity, source from GOSIF-GPP, aggregated on zone.",Mean,
GPP_std,monthly_dynamic_feature,06_remote_sensing_vegetation_and_nightlights,06 Remote sensing vegetation and nightlights,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Gross Primary Productivity, source from GOSIF-GPP, aggregated on zone.",Standard deviation,
ISO3,identifier,01_identifiers_location_and_time,"01 Identifiers, location, and time",yes,recommended,not expected,recommended for audit and joins,recommended,string,,ISO 3166-1 alpha-3 country code,,
LWdown_f_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Downward longwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Mean,
LWdown_f_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Downward longwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Lwnet_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Net longwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Mean,
Lwnet_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Net longwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Psurf_f_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Surface pressure, From FLDAS product. Aggregated first on month then on zone.",Mean,
Psurf_f_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Surface pressure, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Qair_f_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Near-surface specific humidity, From FLDAS product. Aggregated first on month then on zone.",Mean,
Qair_f_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Near-surface specific humidity, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Qg_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Ground heat flux, From FLDAS product. Aggregated first on month then on zone.",Mean,
Qg_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Ground heat flux, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Qh_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Sensible heat flux, From FLDAS product. Aggregated first on month then on zone.",Mean,
Qh_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Sensible heat flux, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Qle_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Latent heat flux, From FLDAS product. Aggregated first on month then on zone.",Mean,
Qle_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Latent heat flux, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Qs_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Surface storm runoff, From FLDAS product. Aggregated first on month then on zone.",Mean,
Qs_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Surface storm runoff, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Qsb_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Subsurface/baseflow runoff, From FLDAS product. Aggregated first on month then on zone.",Mean,
Qsb_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Subsurface/baseflow runoff, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
RadT_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Surface radiative temperature, From FLDAS product. Aggregated first on month then on zone.",Mean,
RadT_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Surface radiative temperature, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Rainf_f_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Rainfall/precipitation rate, From FLDAS product. Aggregated first on month then on zone.",Mean,
Rainf_f_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Rainfall/precipitation rate, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SWE_inst_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snow water equivalent, From FLDAS product. Aggregated first on month then on zone.",Mean,
SWE_inst_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snow water equivalent, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SWdown_f_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Downward shortwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Mean,
SWdown_f_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Downward shortwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SnowCover_inst_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snow cover fraction, From FLDAS product. Aggregated first on month then on zone.",Mean,
SnowCover_inst_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snow cover fraction, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SnowDepth_inst_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snow depth, From FLDAS product. Aggregated first on month then on zone.",Mean,
SnowDepth_inst_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snow depth, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Snowf_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snowfall rate, From FLDAS product. Aggregated first on month then on zone.",Mean,
Snowf_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Snowfall rate, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilMoi00_10cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 0-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilMoi00_10cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 0-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilMoi100_200cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 10-20cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilMoi100_200cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 10-20cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilMoi10_40cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 10-40cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilMoi10_40cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 10-40cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilMoi40_100cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 40-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilMoi40_100cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil moisture for 40-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilTemp00_10cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 0-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilTemp00_10cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 0-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilTemp100_200cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 10-20cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilTemp100_200cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 10-20cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilTemp10_40cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 10-40cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilTemp10_40cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 10-40cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
SoilTemp40_100cm_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 40-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Mean,
SoilTemp40_100cm_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Soil temperature for 40-10cm depth layer, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Swnet_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Net shortwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Mean,
Swnet_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Net shortwave radiation flux at surface, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
Tair_f_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Near-surface air temperature, From FLDAS product. Aggregated first on month then on zone.",Mean,
Tair_f_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Near-surface air temperature, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
WFP_Price,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"World Food Programme market/food price, country level ALPS product(maize, rice, corn, wheat, vegetable oil)",,
WFP_Price_std,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Standard deviation of WFP price observations, country level ALPS product(maize, rice, corn, wheat, vegetable oil)",Standard deviation,
Wind_f_tavg_mean,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Near-surface wind speed, From FLDAS product. Aggregated first on month then on zone.",Mean,
Wind_f_tavg_stdDev,monthly_dynamic_feature,05_fldas_gldas_land_surface_climate,05 FLDAS/GLDAS land-surface climate,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Near-surface wind speed, From FLDAS product. Aggregated first on month then on zone.",Standard deviation,
address,identifier,02_geography_and_spatial_linkage,02 Geography and spatial linkage,yes,recommended,not expected,optional feature column before downstream feature engineering,not expected,string,,Place/address text,,
admin_code,identifier,02_geography_and_spatial_linkage,02 Geography and spatial linkage,yes,required,required,required compatibility alias,required,string,Current administrative identifier; source for area_id.,Administrative unit code,,Current raw/scaffold assets use this as the area id.
country,identifier,02_geography_and_spatial_linkage,02 Geography and spatial linkage,yes,recommended,not expected,recommended for audit and joins,recommended,string,,Country name,,
country_code,identifier,02_geography_and_spatial_linkage,02 Geography and spatial linkage,yes,recommended,not expected,recommended for audit and joins,recommended,string,,Country code,,
country_en,identifier,02_geography_and_spatial_linkage,02 Geography and spatial linkage,yes,recommended,not expected,recommended for audit and joins,recommended,string,,English country name,,
crop,fixed_slow_feature,asap_land_cover,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,"Crop mask, source from ASAP",,
distance_to_nearest_acled,identifier_or_static_geography,02_geography_and_spatial_linkage,02 Geography and spatial linkage,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Distance to nearest ACLED conflict event,,
distance_to_river,fixed_slow_feature,river_distance,02 Geography and spatial linkage,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Distance to nearest river source from world bank,,
